playerId,gameweek,name,minutes-played,team,opponent,clean-sheet,goals-conceded,saves,penalty-saves,yellow-cards,red-cards,bonus,total
448,1,Fabianski,90,SWA,MUN,0,1,4,0,0,0,0,3
130,1,Howard,90,EVE,LEI,0,2,1,0,0,0,0,1
155,1,McGregor,90,HUL,QPR,1,0,5,1,0,0,2,14
30,1,Guzan,90,AVL,STK,1,0,2,0,0,0,0,6
422,1,Mannone,90,SUN,WBA,0,2,3,0,0,0,0,2
364,1,Lloris,90,TOT,WHU,1,0,4,0,0,0,0,7
104,1,Speroni,90,CRY,ARS,0,2,4,0,0,0,0,2
257,1,De Gea,90,MUN,SWA,0,2,2,0,0,0,0,1
178,1,Schmeichel,90,LEI,EVE,0,2,1,0,0,0,0,1
318,1,Green,90,QPR,HUL,0,1,3,0,0,0,0,3
395,1,Begovic,90,STK,AVL,0,1,1,0,0,0,0,2
477,1,Foster,90,WBA,SUN,0,2,0,0,0,0,0,1
498,1,Adrián,90,WHU,TOT,0,1,4,0,0,0,0,3
1,1,Szczesny,90,ARS,CRY,0,1,1,0,0,0,0,2
560,1,Forster,90,SOU,LIV,0,2,3,0,0,0,0,2
231,1,Hart,90,MCI,NEW,1,0,0,0,0,0,0,6
200,1,Mignolet,90,LIV,SOU,0,1,5,0,0,0,0,3
78,1,Courtois,90,CHE,BUR,0,1,1,0,0,0,0,2
58,1,Heaton,90,BUR,CHE,0,3,0,0,0,0,0,1
288,1,Krul,90,NEW,MCI,0,2,3,0,0,0,0,2
288,2,Krul,90,NEW,AVL,1,0,0,0,0,0,0,6
178,2,Schmeichel,90,LEI,CHE,0,2,8,0,0,0,0,3
498,2,Adrián,90,WHU,CRY,0,1,3,0,0,0,0,3
477,2,Foster,90,WBA,SOU,1,0,2,0,0,0,0,6
58,2,Heaton,90,BUR,SWA,0,1,3,0,0,0,0,3
1,2,Szczesny,90,ARS,EVE,0,2,0,0,0,0,0,1
30,2,Guzan,90,AVL,NEW,1,0,4,0,0,0,0,7
78,2,Courtois,90,CHE,LEI,1,0,4,0,0,0,0,7
104,2,Speroni,90,CRY,WHU,0,3,5,0,0,0,0,2
560,2,Forster,90,SOU,WBA,1,0,2,0,0,0,0,6
448,2,Fabianski,90,SWA,BUR,1,0,1,0,0,0,0,6
130,2,Howard,90,EVE,ARS,0,2,1,0,0,0,0,1
395,2,Begovic,90,STK,HUL,0,1,1,0,0,0,0,2
318,2,Green,90,QPR,TOT,0,4,1,0,0,0,0,0
257,2,De Gea,90,MUN,SUN,0,1,2,0,0,0,0,2
155,2,McGregor,90,HUL,STK,0,1,2,0,0,0,0,2
364,2,Lloris,90,TOT,QPR,1,0,1,0,0,0,0,6
422,2,Mannone,90,SUN,MUN,0,1,2,0,0,0,0,2
200,2,Mignolet,90,LIV,MCI,0,3,1,0,0,0,0,1
231,2,Hart,90,MCI,LIV,0,1,3,0,0,0,0,3
257,3,De Gea,90,MUN,BUR,1,0,3,0,0,0,0,7
395,3,Begovic,90,STK,MCI,1,0,2,0,0,0,0,6
104,3,Speroni,90,CRY,NEW,0,3,1,0,0,0,0,1
422,3,Mannone,90,SUN,QPR,0,1,3,0,0,0,0,3
477,3,Foster,90,WBA,SWA,0,3,4,0,0,0,0,2
560,3,Forster,90,SOU,WHU,0,1,1,0,0,0,0,2
78,3,Courtois,90,CHE,EVE,0,3,4,0,0,0,0,2
155,3,McGregor,90,HUL,AVL,0,2,2,0,0,0,0,1
200,3,Mignolet,90,LIV,TOT,1,0,1,0,0,0,0,6
1,3,Szczesny,90,ARS,LEI,0,1,2,0,1,0,0,1
58,3,Heaton,90,BUR,MUN,1,0,1,0,0,0,0,6
231,3,Hart,90,MCI,STK,0,1,1,0,0,0,0,2
288,3,Krul,90,NEW,CRY,0,3,4,0,0,0,0,2
318,3,Green,90,QPR,SUN,1,0,6,0,0,0,1,9
448,3,Fabianski,90,SWA,WBA,1,0,2,0,0,0,0,6
498,3,Adrián,90,WHU,SOU,0,3,4,0,0,0,0,2
130,3,Howard,90,EVE,CHE,0,6,3,0,1,0,0,-1
30,3,Guzan,90,AVL,HUL,0,1,2,0,1,0,0,1
364,3,Lloris,90,TOT,LIV,0,3,5,0,0,0,0,2
178,3,Schmeichel,90,LEI,ARS,0,1,5,0,0,0,0,3
231,4,Hart,90,MCI,ARS,0,2,4,0,0,0,0,2
448,4,Fabianski,90,SWA,CHE,0,4,5,0,0,0,0,1
58,4,Heaton,90,BUR,CRY,1,0,3,0,0,0,0,7
288,4,Krul,90,NEW,SOU,0,4,3,0,0,0,0,1
179,4,Hamer,90,LEI,STK,1,0,4,0,0,0,1,8
364,4,Lloris,90,TOT,SUN,0,2,0,0,0,0,0,1
130,4,Howard,90,EVE,WBA,1,0,1,0,0,0,0,6
30,4,Guzan,90,AVL,LIV,1,0,1,0,0,0,1,7
1,4,Szczesny,90,ARS,MCI,0,2,6,0,0,0,0,3
78,4,Courtois,90,CHE,SWA,0,2,1,0,0,0,0,1
104,4,Speroni,90,CRY,BUR,1,0,3,1,0,0,3,15
560,4,Forster,90,SOU,NEW,1,0,4,0,0,0,0,7
395,4,Begovic,90,STK,LEI,0,1,0,0,0,0,0,2
422,4,Mannone,90,SUN,TOT,0,2,4,0,0,0,0,2
477,4,Foster,90,WBA,EVE,0,2,2,0,0,0,0,1
200,4,Mignolet,90,LIV,AVL,0,1,0,0,0,0,0,2
318,4,Green,90,QPR,MUN,0,4,5,0,0,0,0,1
257,4,De Gea,90,MUN,QPR,1,0,1,0,0,0,0,6
498,4,Adrián,90,WHU,HUL,0,2,4,0,0,0,0,2
155,4,McGregor,90,HUL,WHU,0,2,3,0,0,0,0,2
395,5,Begovic,90,STK,QPR,0,2,3,0,0,0,0,2
1,5,Szczesny,90,ARS,AVL,1,0,2,0,0,0,0,6
422,5,Mannone,90,SUN,BUR,1,0,6,0,0,0,2,10
155,5,McGregor,90,HUL,NEW,0,2,5,0,0,0,0,2
560,5,Forster,90,SOU,SWA,1,0,1,0,0,0,0,6
200,5,Mignolet,90,LIV,WHU,0,3,4,0,0,0,0,2
318,5,Green,90,QPR,STK,0,2,2,0,0,0,0,1
30,5,Guzan,90,AVL,ARS,0,3,1,0,0,0,0,1
58,5,Heaton,90,BUR,SUN,1,0,6,0,0,0,0,8
288,5,Krul,90,NEW,HUL,0,2,1,0,0,0,0,1
448,5,Fabianski,90,SWA,SOU,0,1,3,0,0,0,0,3
498,5,Adrián,90,WHU,LIV,0,1,5,0,1,0,0,2
257,5,De Gea,90,MUN,LEI,0,5,0,0,0,0,0,0
477,5,Foster,90,WBA,TOT,1,0,1,0,1,0,0,5
104,5,Speroni,90,CRY,EVE,0,2,4,0,1,0,0,1
78,5,Courtois,90,CHE,MCI,0,1,3,0,0,0,0,3
178,5,Schmeichel,90,LEI,MUN,0,3,2,0,0,0,0,1
364,5,Lloris,90,TOT,WBA,0,1,3,0,0,0,0,3
130,5,Howard,90,EVE,CRY,0,3,0,0,0,0,0,1
231,5,Hart,90,MCI,CHE,0,1,1,0,0,0,0,2
130,6,Howard,90,EVE,LIV,0,1,7,0,0,0,0,4
30,6,Guzan,90,AVL,CHE,0,3,4,0,0,0,0,2
178,6,Schmeichel,90,LEI,CRY,0,2,4,0,0,0,0,2
232,6,Caballero,90,MCI,HUL,0,2,4,0,0,0,0,2
498,6,Adrián,90,WHU,MUN,0,2,1,0,1,0,0,0
318,6,Green,90,QPR,SOU,0,2,7,0,0,0,0,3
448,6,Fabianski,90,SWA,SUN,1,0,3,0,0,0,0,7
364,6,Lloris,90,TOT,ARS,0,1,5,0,0,0,0,3
200,6,Mignolet,90,LIV,EVE,0,1,4,0,0,0,0,3
78,6,Courtois,90,CHE,AVL,1,0,1,0,0,0,0,6
104,6,Speroni,90,CRY,LEI,1,0,1,0,0,0,0,6
155,6,McGregor,90,HUL,MCI,0,4,2,0,0,0,0,0
257,6,De Gea,90,MUN,WHU,0,1,3,0,0,0,0,3
560,6,Forster,90,SOU,QPR,0,1,1,0,0,0,0,2
422,6,Mannone,90,SUN,SWA,1,0,1,0,0,0,0,6
1,6,Szczesny,90,ARS,TOT,0,1,4,0,0,0,0,3
58,6,Heaton,90,BUR,WBA,0,4,2,0,0,0,0,0
477,6,Foster,90,WBA,BUR,1,0,2,0,0,0,0,6
288,6,Krul,90,NEW,STK,0,1,2,0,0,0,0,2
395,6,Begovic,90,STK,NEW,1,0,1,0,0,0,1,7
104,7,Speroni,90,CRY,HUL,0,2,0,0,0,0,0,1
58,7,Heaton,90,BUR,LEI,0,2,4,0,0,0,0,2
477,7,Foster,90,WBA,LIV,0,2,5,0,0,0,0,2
395,7,Begovic,90,STK,SUN,0,3,0,0,0,0,0,1
288,7,Krul,90,NEW,SWA,0,2,3,0,0,0,0,2
231,7,Hart,90,MCI,AVL,1,0,1,0,0,0,0,6
156,7,Harper,90,HUL,CRY,1,0,1,0,0,0,0,6
178,7,Schmeichel,90,LEI,BUR,0,2,2,0,0,0,0,1
200,7,Mignolet,90,LIV,WBA,0,1,3,0,0,0,0,3
422,7,Mannone,90,SUN,STK,0,1,4,0,0,0,0,3
448,7,Fabianski,90,SWA,NEW,0,2,2,0,0,0,0,1
30,7,Guzan,90,AVL,MCI,0,2,5,0,0,0,0,2
130,7,Howard,90,EVE,MUN,0,2,2,0,1,0,0,0
1,7,Szczesny,90,ARS,CHE,0,2,1,0,0,0,0,1
560,7,Forster,90,SOU,TOT,0,1,2,0,0,0,0,2
318,7,Green,90,QPR,WHU,0,2,2,0,0,0,0,1
257,7,De Gea,90,MUN,EVE,0,1,4,1,0,0,0,8
77,7,Cech,67,CHE,ARS,1,0,0,0,0,0,0,6
78,7,Courtois,23,CHE,ARS,0,0,0,0,0,0,0,1
364,7,Lloris,90,TOT,SOU,1,0,3,0,0,0,2,9
498,7,Adrián,90,WHU,QPR,1,0,3,0,0,0,0,7
364,8,Lloris,90,TOT,MCI,0,4,8,1,0,0,1,8
156,8,Harper,42,HUL,ARS,0,1,4,0,0,0,0,2
618,8,Jakupovic,48,HUL,ARS,0,1,3,0,0,0,0,2
498,8,Adrián,90,WHU,BUR,0,1,2,0,0,0,0,2
78,8,Courtois,90,CHE,CRY,0,1,3,0,0,0,0,3
30,8,Guzan,90,AVL,EVE,0,3,3,0,0,0,0,2
178,8,Schmeichel,90,LEI,NEW,0,1,5,0,0,0,0,3
422,8,Mannone,90,SUN,SOU,0,8,4,0,0,0,0,-1
231,8,Hart,90,MCI,TOT,0,1,6,1,0,0,0,9
1,8,Szczesny,90,ARS,HUL,0,2,2,0,0,0,0,1
58,8,Heaton,90,BUR,WHU,0,3,2,0,0,0,0,1
104,8,Speroni,90,CRY,CHE,0,2,2,0,0,0,0,1
130,8,Howard,90,EVE,AVL,1,0,2,0,0,0,0,6
288,8,Krul,90,NEW,LEI,1,0,2,0,0,0,0,6
560,8,Forster,90,SOU,SUN,1,0,2,0,0,0,0,6
200,8,Mignolet,90,LIV,QPR,0,2,4,0,0,0,0,2
448,8,Fabianski,90,SWA,STK,0,2,1,0,0,0,0,1
607,8,McCarthy,90,QPR,LIV,0,3,4,0,0,0,0,2
395,8,Begovic,90,STK,SWA,0,1,3,0,0,0,0,3
257,8,De Gea,90,MUN,WBA,0,2,0,0,0,0,0,1
476,8,Myhill,90,WBA,MUN,0,2,5,0,0,0,0,2
231,9,Hart,90,MCI,WHU,0,2,2,0,0,0,0,1
618,9,Jakupovic,90,HUL,LIV,1,0,3,0,0,0,0,7
395,9,Begovic,90,STK,SOU,0,1,1,0,0,0,0,2
1,9,Szczesny,90,ARS,SUN,1,0,3,0,0,0,0,7
104,9,Speroni,54,CRY,WBA,0,1,2,0,0,0,0,1
105,9,Hennessey,36,CRY,WBA,0,1,0,0,0,0,0,1
178,9,Schmeichel,90,LEI,SWA,0,2,1,0,0,0,0,1
498,9,Adrián,90,WHU,MCI,0,1,4,0,0,0,0,3
200,9,Mignolet,90,LIV,HUL,1,0,3,0,0,0,0,7
560,9,Forster,90,SOU,STK,1,0,1,0,0,0,0,6
422,9,Mannone,90,SUN,ARS,0,2,3,0,0,0,0,2
477,9,Foster,90,WBA,CRY,0,2,4,0,0,0,0,2
448,9,Fabianski,90,SWA,LEI,1,0,4,0,0,0,0,7
130,9,Howard,90,EVE,BUR,0,1,2,0,0,0,0,2
288,9,Krul,90,NEW,TOT,0,1,1,0,1,0,0,1
78,9,Courtois,90,CHE,MUN,0,1,6,0,0,0,0,4
58,9,Heaton,90,BUR,EVE,0,3,3,0,0,0,0,2
364,9,Lloris,90,TOT,NEW,0,2,0,0,0,0,0,1
257,9,De Gea,90,MUN,CHE,0,1,3,0,0,0,0,3
30,9,Guzan,90,AVL,QPR,0,2,2,0,0,0,0,1
318,9,Green,90,QPR,AVL,1,0,6,0,0,0,1,9
200,10,Mignolet,90,LIV,NEW,0,1,1,0,0,0,0,2
58,10,Heaton,90,BUR,ARS,0,3,8,0,0,0,0,3
318,10,Green,90,QPR,CHE,0,2,6,0,0,0,0,3
448,10,Fabianski,90,SWA,EVE,1,0,3,0,0,0,0,7
560,10,Forster,90,SOU,HUL,1,0,1,0,0,0,0,6
477,10,Foster,90,WBA,LEI,1,0,5,0,0,0,3,10
498,10,Adrián,90,WHU,STK,0,2,4,0,0,0,0,2
288,10,Krul,90,NEW,LIV,1,0,3,0,0,0,1,8
1,10,Szczesny,90,ARS,BUR,1,0,2,0,0,0,0,6
78,10,Courtois,90,CHE,QPR,0,1,0,0,0,0,0,2
130,10,Howard,90,EVE,SWA,1,0,0,0,0,0,0,6
618,10,Jakupovic,90,HUL,SOU,0,1,2,0,0,0,0,2
178,10,Schmeichel,90,LEI,WBA,0,1,3,0,0,0,0,3
395,10,Begovic,90,STK,WHU,0,2,0,0,0,0,0,1
257,10,De Gea,90,MUN,MCI,0,1,5,0,0,0,0,3
364,10,Lloris,90,TOT,AVL,0,1,0,0,0,0,0,2
231,10,Hart,90,MCI,MUN,1,0,2,0,0,0,0,6
30,10,Guzan,90,AVL,TOT,0,2,5,0,0,0,0,2
423,10,Pantilimon,90,SUN,CRY,0,1,1,0,1,0,0,1
104,10,Speroni,90,CRY,SUN,0,3,4,0,0,0,0,2
78,11,Courtois,90,CHE,LIV,0,1,3,0,1,0,0,2
156,11,Harper,90,HUL,BUR,0,1,2,0,0,0,0,2
104,11,Speroni,90,CRY,MUN,0,1,3,0,0,0,0,3
178,11,Schmeichel,90,LEI,SOU,0,2,4,0,0,0,0,2
30,11,Guzan,90,AVL,WHU,1,0,5,0,0,0,0,7
231,11,Hart,90,MCI,QPR,0,2,3,0,0,0,0,2
200,11,Mignolet,90,LIV,CHE,0,2,3,0,0,0,0,2
58,11,Heaton,90,BUR,HUL,1,0,1,0,0,0,1,7
257,11,De Gea,90,MUN,CRY,1,0,1,0,0,0,0,6
560,11,Forster,90,SOU,LEI,1,0,0,0,0,0,0,6
498,11,Adrián,90,WHU,AVL,1,0,4,0,0,0,0,7
318,11,Green,90,QPR,MCI,0,2,2,0,0,0,0,1
395,11,Begovic,90,STK,TOT,0,1,3,0,1,0,0,2
130,11,Howard,90,EVE,SUN,0,1,1,0,0,0,0,2
288,11,Krul,90,NEW,WBA,1,0,2,0,0,0,0,6
1,11,Szczesny,90,ARS,SWA,0,2,3,0,0,0,0,2
364,11,Lloris,90,TOT,STK,0,2,2,0,0,0,0,1
423,11,Pantilimon,90,SUN,EVE,0,1,6,0,0,0,0,4
477,11,Foster,90,WBA,NEW,0,2,1,0,0,0,0,1
448,11,Fabianski,90,SWA,ARS,0,1,3,0,0,0,0,3
477,12,Foster,90,WBA,CHE,0,2,6,0,0,0,0,3
498,12,Adrián,90,WHU,EVE,0,2,2,0,0,0,0,1
423,12,Pantilimon,90,SUN,LEI,1,0,4,0,0,0,2,9
448,12,Fabianski,90,SWA,MCI,0,2,8,0,0,0,0,3
318,12,Green,90,QPR,NEW,0,1,5,0,0,0,0,3
58,12,Heaton,90,BUR,STK,0,1,3,0,1,0,0,2
257,12,De Gea,90,MUN,ARS,0,1,8,0,0,0,0,4
78,12,Courtois,90,CHE,WBA,1,0,1,0,0,0,0,6
130,12,Howard,90,EVE,WHU,0,1,2,0,0,0,0,2
178,12,Schmeichel,90,LEI,SUN,1,0,5,0,0,0,1,8
231,12,Hart,90,MCI,SWA,0,1,2,0,0,0,0,2
288,12,Krul,90,NEW,QPR,1,0,4,0,0,0,2,9
395,12,Begovic,90,STK,BUR,0,2,2,0,0,0,0,1
1,12,Szczesny,58,ARS,MUN,0,1,0,0,0,0,0,1
572,12,Martinez,32,ARS,MUN,0,1,1,0,0,0,0,1
200,12,Mignolet,90,LIV,CRY,0,3,2,0,0,0,0,1
364,12,Lloris,90,TOT,HUL,0,1,1,0,0,0,0,2
104,12,Speroni,90,CRY,LIV,0,1,0,0,0,0,0,2
155,12,McGregor,90,HUL,TOT,0,2,4,0,0,0,0,2
560,12,Forster,90,SOU,AVL,0,1,0,0,0,0,0,2
30,12,Guzan,90,AVL,SOU,0,1,3,0,0,0,0,3
572,13,Martinez,90,ARS,WBA,1,0,1,0,0,0,0,6
30,13,Guzan,90,AVL,BUR,0,1,3,0,0,0,0,3
395,13,Begovic,90,STK,LIV,0,1,2,0,0,0,0,2
155,13,McGregor,90,HUL,MUN,0,3,2,0,0,0,0,1
178,13,Schmeichel,90,LEI,QPR,0,3,3,0,0,0,0,2
104,13,Speroni,90,CRY,SWA,0,1,3,0,0,0,0,3
289,13,Elliot,90,NEW,WHU,0,1,2,0,0,0,0,2
78,13,Courtois,90,CHE,SUN,1,0,3,0,0,0,0,7
477,13,Foster,90,WBA,ARS,0,1,4,0,0,0,0,3
58,13,Heaton,90,BUR,AVL,0,1,6,0,0,0,0,4
200,13,Mignolet,90,LIV,STK,1,0,3,0,0,0,0,7
257,13,De Gea,90,MUN,HUL,1,0,2,0,0,0,0,6
318,13,Green,90,QPR,LEI,0,2,2,0,1,0,0,0
448,13,Fabianski,90,SWA,CRY,0,1,4,0,0,0,0,3
